City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mancora,-4.1078,-81.0475,25.49,68,19,1.06,PE,1696774698
84,kavaratti,10.5669,72.642,27.74,62,1,1.18,IN,1696774699
85,chubbuck,42.9208,-112.4661,12.57,76,0,2.57,US,1696774699
86,labytnangi,66.6572,66.4183,7.25,89,87,1.7,RU,1696774699
87,tolanaro,-25.0319,46.9987,27.08,58,0,4.01,MG,1696774699
88,longyearbyen,78.2186,15.6401,-4.09,68,75,4.63,SJ,1696774699
89,tambopata,-12.7333,-69.1833,32.94,62,20,2.06,PE,1696774699
90,saint-pierre,-21.3393,55.4781,25.82,57,75,2.06,RE,1696774699
91,cumra,37.5732,32.7745,24.08,23,49,0.61,TR,1696774699
92,cabo san lucas,22.8909,-109.9124,26.53,91,63,0.89,MX,1696774690
93,invercargill,-46.4,168.35,7.79,79,100,3.13,NZ,1696774700
94,zamora,-4.0692,-78.9567,25.65,85,78,1.36,EC,1696774416
95,luwuk,-0.9516,122.7875,24.34,82,71,2.38,ID,1696774700
96,praia da vitoria,38.7333,-27.0667,23.14,73,40,8.71,PT,1696774700
97,leava,-14.3,-178.1667,25.43,71,70,4.52,WF,1696774522
98,kulhudhuffushi,6.6221,73.07,28.26,72,95,0.52,MV,1696774700
99,lata,40.1629,-8.3327,31.71,14,0,2.04,PT,1696774700
100,anadyr,64.75,177.4833,-4.72,80,0,3.0,RU,1696774700
101,at taj,24.2049,23.2857,32.19,22,0,5.29,LY,1696774700
102,albany,42.6001,-73.9662,12.58,73,63,0.89,US,1696774585
103,atafu village,-8.5421,-172.5159,28.63,78,51,5.5,TK,1696774700
104,guerrero negro,27.9769,-114.0611,21.02,79,0,1.69,MX,1696774701
105,georgetown,5.4112,100.3354,28.86,86,40,4.12,MY,1696774510
106,port douglas,-16.4833,145.4667,22.81,73,48,7.07,AU,1696774701
107,menongue,-14.6585,17.691,38.66,10,77,1.79,AO,1696774701
108,siocon,7.7061,122.1353,27.04,83,100,2.54,PH,1696774701
109,hithadhoo,-0.6,73.0833,27.73,82,85,6.3,MV,1696774701
110,zalesovo,53.9939,84.7431,10.29,94,53,2.82,RU,1696774701
111,kuhdasht,33.535,47.6061,25.99,14,69,1.04,IR,1696774686
112,siwa oasis,29.2041,25.5195,29.85,24,5,4.84,EG,1696774701
113,uturoa,-16.7333,-151.4333,25.95,81,6,7.93,PF,1696774702
114,tsumeb,-19.2333,17.7167,36.3,6,7,1.71,NA,1696774702
115,sandnessjoen,66.0217,12.6316,4.12,81,75,3.6,NO,1696774482
116,as samawah,31.332,45.2944,36.35,15,3,4.68,IQ,1696774702
117,kruisfontein,-34.0033,24.7314,16.6,58,32,4.57,ZA,1696774702
118,vilyuchinsk,52.9306,158.4028,7.76,79,99,3.29,RU,1696774702
119,porto novo,6.4965,2.6036,28.9,65,70,3.32,BJ,1696774702
120,rzepin,52.3464,14.8323,14.99,42,98,3.88,PL,1696774702
121,sal rei,16.1833,-22.9167,33.11,49,75,4.12,CV,1696774702
122,lihue,21.9789,-159.3672,22.42,91,40,3.78,US,1696774702
123,nishinoomote,30.7333,131.0,24.18,91,100,2.41,JP,1696774703
124,olonkinbyen,70.9221,-8.7187,0.37,88,100,0.45,SJ,1696774703
125,saipan,15.1355,145.701,28.39,83,40,5.14,MP,1696774703
126,al ghayzah,16.2079,52.176,28.01,68,0,4.85,YE,1696774703
127,fale old settlement,-9.3852,-171.2468,28.42,80,100,6.41,TK,1696774703
128,mahina,-17.5065,-149.489,22.87,83,20,2.06,PF,1696774703
129,taoudenni,22.6783,-3.9836,39.05,10,5,3.81,ML,1696774703
130,san luis de la loma,17.2706,-100.8939,24.34,94,100,5.44,MX,1696774703
131,kurumkan,54.3,110.3,7.85,81,100,0.89,RU,1696774703
132,kualakapuas,-3.0091,114.3876,26.33,72,38,1.13,ID,1696774633
133,polyarnyy,69.1989,33.4478,1.69,72,100,1.67,RU,1696774704
134,la passe,45.5549,-0.8967,31.13,29,98,0.7,FR,1696774704
135,port elizabeth,-33.918,25.5701,18.16,80,40,6.17,ZA,1696774637
136,tandalti,13.0167,31.8667,39.25,18,68,3.61,SD,1696774639
137,juegang,32.3174,121.1855,20.51,81,47,2.81,CN,1696774704
138,iskateley,67.6803,53.1512,3.34,87,100,4.92,RU,1696774704
139,shchuchinsk,52.9333,70.2,10.03,72,92,7.03,KZ,1696774612
140,la pintada,5.7487,-75.6063,27.01,89,97,0.45,CO,1696774704
141,haiku-pauwela,20.9219,-156.3051,23.91,75,40,5.14,US,1696774704
142,bel ombre,-4.6167,55.4167,24.91,83,20,4.12,SC,1696774704
143,aasiaat,68.7098,-52.8699,0.38,97,100,8.59,GL,1696774704
144,puerto ayora,-0.7393,-90.3518,26.98,93,83,4.02,EC,1696774593
145,auch,43.65,0.5833,30.81,45,4,1.44,FR,1696774705
146,correntina,-13.3433,-44.6367,37.3,23,12,1.78,BR,1696774705
147,rio san juan,19.6439,-70.0763,30.09,68,23,4.04,DO,1696774506
148,constantia,44.1833,28.65,25.39,39,100,7.06,RO,1696774483
149,kodiak,57.79,-152.4072,1.73,93,0,3.09,US,1696774605
150,jeddah,21.5169,39.2192,35.92,52,0,4.12,SA,1696774705
151,salem,11.65,78.1667,26.38,78,96,1.69,IN,1696774508
152,taltal,-25.4,-70.4833,20.0,58,0,2.58,CL,1696774705
153,astara,38.5,48.6667,23.99,70,0,1.65,AZ,1696774705
154,jamestown,42.097,-79.2353,10.77,98,100,6.69,US,1696774654
155,pelabuhanratu,-6.9875,106.5514,25.78,86,90,1.79,ID,1696774705
156,dapa,9.7594,126.0531,27.77,81,99,2.98,PH,1696774706
157,pisco,-13.7,-76.2167,19.03,82,100,2.06,PE,1696774633
158,kongolo,-5.3833,27.0,31.18,51,100,1.56,CD,1696774706
159,sucua,-2.4667,-78.1667,24.41,83,75,3.6,EC,1696774706
160,nyurba,63.2842,118.3319,2.8,71,100,2.68,RU,1696774706
161,dabhol,17.6,73.1667,25.78,92,26,2.85,IN,1696774706
162,khowy,38.5503,44.9521,24.29,31,0,0.0,IR,1696774706
163,saudarkrokur,65.7461,-19.6394,6.59,88,100,5.49,IS,1696774706
164,port mathurin,-19.6833,63.4167,23.62,78,52,7.33,MU,1696774706
165,tura,25.5198,90.2201,22.85,97,49,1.46,IN,1696774706
166,kapuskasing,49.4169,-82.4331,3.05,93,100,8.23,CA,1696774707
167,zyryanovsk,49.7386,84.2719,14.09,59,99,0.88,KZ,1696774707
168,arafat,21.3594,39.9664,39.43,15,1,4.0,SA,1696774707
169,carutapera,-1.195,-46.02,28.73,69,100,4.51,BR,1696774707
170,sabang,5.8933,95.3214,27.31,81,100,5.73,ID,1696774707
171,bangassou,4.7413,22.8184,31.6,52,54,0.94,CF,1696774707
172,midvagur,62.0511,-7.1939,9.46,71,75,3.6,FO,1696774707
173,taroa,8.7058,171.2275,27.57,81,100,7.11,MH,1696774707
174,sao jose da coroa grande,-8.8978,-35.1478,28.45,60,48,5.33,BR,1696774707
175,ankazoabo,-22.2833,44.5167,33.4,27,4,6.38,MG,1696774637
176,egilsstadir,65.2653,-14.3948,9.95,53,75,5.14,IS,1696774708
177,vallenar,-28.5708,-70.7581,24.62,23,0,2.07,CL,1696774708
178,vila franca do campo,37.7167,-25.4333,22.23,99,100,6.04,PT,1696774708
179,kachug,53.9606,105.8817,8.92,75,98,0.45,RU,1696774708
180,san pedro pochutla,15.7333,-96.4667,25.84,79,99,1.2,MX,1696774708
181,karratha,-20.7377,116.8463,26.52,56,0,1.5,AU,1696774605
182,nadi,-17.8,177.4167,20.0,88,20,3.09,FJ,1696774708
183,south grafton,-29.7,152.95,12.48,77,78,1.2,AU,1696774708
184,kodinsk,58.6881,99.1844,11.36,88,99,0.98,RU,1696774708
185,la'ie,21.6477,-157.9253,26.98,77,2,2.24,US,1696774708
186,myskhako,44.6714,37.7433,20.88,72,90,10.2,RU,1696774709
187,el galpon,-25.3807,-64.6526,26.12,28,0,2.45,AR,1696774709
188,flying fish cove,-10.4217,105.6791,24.82,100,100,4.12,CX,1696774522
189,ad-damazin,11.7891,34.3592,33.74,43,13,3.02,SD,1696774709
190,nuuk,64.1835,-51.7216,3.34,100,100,2.57,GL,1696774709
191,sao vicente,-23.9631,-46.3919,27.1,62,100,1.54,BR,1696774709
192,mount gambier,-37.8333,140.7667,6.68,93,54,2.36,AU,1696774709
193,weno,7.4515,151.8468,26.97,94,100,5.14,FM,1696774709
194,torquay,50.4638,-3.5143,24.02,68,61,0.45,GB,1696774709
195,kralendijk,12.15,-68.2667,31.99,70,40,8.75,BQ,1696774635
196,lerwick,60.1545,-1.1494,10.0,64,100,5.85,GB,1696774710
197,portland,45.5234,-122.6762,15.11,93,100,1.54,US,1696774710
198,kimbe,-5.5502,150.1429,24.77,85,98,3.03,PG,1696774710
199,iwaki,37.05,140.8833,15.57,88,100,1.45,JP,1696774710
200,malaga,36.7202,-4.4203,27.91,71,20,3.6,ES,1696774707
201,margate,51.3813,1.3862,22.17,72,59,1.08,GB,1696774634
202,coquimbo,-29.9533,-71.3436,15.85,72,20,4.12,CL,1696774710
203,dryden,49.7833,-92.7503,6.16,87,100,1.54,CA,1696774710
204,rongelap,11.1635,166.8941,28.39,82,100,9.62,MH,1696774710
205,houghton,47.1219,-88.569,7.71,87,0,2.57,US,1696774430
206,mount pearl,47.5166,-52.7813,12.47,83,75,4.63,CA,1696774711
207,codrington,-38.2667,141.9667,6.96,90,99,2.75,AU,1696774711
208,mwinilunga,-11.7358,24.4293,33.05,25,67,1.41,ZM,1696774711
209,queenstown,-31.8976,26.8753,13.08,67,79,5.51,ZA,1696774711
210,okhotsk,59.3833,143.3,2.85,75,100,2.6,RU,1696774711
211,ulanhot,46.0833,122.0833,9.53,43,83,1.72,CN,1696774711
212,sibi,29.5448,67.8764,34.61,6,0,7.17,PK,1696774711
213,kristiansund,63.1115,7.732,7.03,81,75,7.72,NO,1696774711
214,el sauzal de rodriguez,31.9,-116.6833,19.56,73,22,1.97,MX,1696774712
215,tiksi,71.6872,128.8694,-7.79,90,100,4.33,RU,1696774712
216,muroto-misakicho,33.2833,134.15,20.11,87,100,9.95,JP,1696774712
217,turaif,31.6725,38.6637,32.14,13,0,4.12,SA,1696774712
218,aykhal,66.0,111.5,-7.18,93,43,3.13,RU,1696774712
219,sharm el-sheikh,27.8518,34.305,31.52,51,0,2.82,EG,1696774712
220,chibougamau,49.9168,-74.3659,11.79,100,100,5.14,CA,1696774712
221,walvis bay,-22.9575,14.5053,16.16,63,17,8.61,NA,1696774712
222,yellowknife,62.456,-114.3525,9.12,94,100,8.23,CA,1696774701
223,sokcho,38.2083,128.5911,14.34,77,11,3.6,KR,1696774713
224,zelenogorsk,56.1147,94.5861,10.76,68,3,0.71,RU,1696774713
225,kaspiyskiy,45.3929,47.3707,21.66,59,100,6.16,RU,1696774713
226,ust-nera,64.5667,143.2,-5.99,96,98,1.79,RU,1696774713
227,bengkulu,-3.8004,102.2655,24.36,91,100,1.99,ID,1696774713
228,cidreira,-30.1811,-50.2056,17.22,92,100,4.45,BR,1696774713
229,afaahiti,-17.75,-149.2833,21.93,86,61,7.57,PF,1696774713
230,jolo,6.05,121.0167,26.35,87,94,2.35,PH,1696774713
231,nova vicosa,-17.8919,-39.3719,29.22,57,29,6.33,BR,1696774713
232,colombo,6.9319,79.8478,27.97,89,100,4.37,LK,1696774508
233,northam,51.0333,-4.2167,24.03,59,79,1.86,GB,1696774714
234,masterton,-40.9597,175.6575,4.94,96,13,0.78,NZ,1696774714
235,east london,-33.0153,27.9116,18.52,72,0,6.17,ZA,1696774714
236,mili,6.0815,171.735,27.71,80,100,5.99,MH,1696774523
237,ivdel',60.6911,60.4206,7.88,91,100,2.91,RU,1696774714
238,christchurch,-43.5333,172.6333,5.51,92,21,2.57,NZ,1696774714
239,filadelfia,39.9523,-75.1638,15.01,66,40,7.72,US,1696774502
240,chichen-itza,20.6667,-88.5667,27.03,89,20,3.09,MX,1696774714
241,margaret river,-33.95,115.0667,13.82,86,6,3.04,AU,1696774714
242,bumba,2.1833,22.4667,28.54,64,63,1.11,CD,1696774714
243,guiuan,11.0333,125.7247,29.06,75,100,5.65,PH,1696774714
244,korla,41.7597,86.1469,21.18,27,65,1.78,CN,1696774715
245,nikel,69.4128,30.222,1.1,88,69,1.26,RU,1696774715
246,campo verde,-20.4167,-54.0667,36.63,30,72,7.17,BR,1696774715
247,acarau,-2.8856,-40.12,32.02,56,89,8.01,BR,1696774715
248,west island,-12.1568,96.8225,25.99,83,75,6.69,CC,1696774715
249,maxixe,-23.8597,35.3472,26.9,65,40,6.17,MZ,1696774715
250,black point,-34.6187,137.8972,13.04,72,47,4.73,AU,1696774715
251,vernon,50.2581,-119.2691,6.34,82,0,0.5,CA,1696774715
252,newman,37.3138,-121.0208,18.36,43,0,1.37,US,1696774715
253,hermantown,46.8069,-92.2383,7.29,81,100,2.06,US,1696774716
254,suncheon,34.9481,127.4895,16.96,71,58,3.41,KR,1696774716
255,concepcion,-36.827,-73.0498,11.89,62,0,3.09,CL,1696774716
256,haslett,42.747,-84.4011,8.03,79,0,4.63,US,1696774716
257,howard springs,-12.497,131.047,27.95,75,27,1.26,AU,1696774716
258,udachny,66.4167,112.4,-5.1,90,81,2.76,RU,1696774716
259,sitka,57.0531,-135.33,11.94,82,100,3.09,US,1696774716
260,puerto deseado,-47.7503,-65.8938,9.81,28,99,15.23,AR,1696774716
261,pimentel,-6.8367,-79.9342,23.16,68,0,2.06,PE,1696774716
262,two rivers,44.1539,-87.5693,8.31,76,0,2.57,US,1696774717
263,ta`u,-14.2336,-169.5144,26.46,86,95,5.92,AS,1696774717
264,quellon,-43.1167,-73.6167,8.98,93,100,4.18,CL,1696774717
265,borodulikha,50.7184,80.9295,14.04,73,100,3.09,KZ,1696774717
266,thinadhoo,0.5333,72.9333,27.69,82,91,5.82,MV,1696774717
267,sungailiat,-1.85,106.1333,27.93,73,80,5.19,ID,1696774717
268,kantang,7.4054,99.5156,26.42,85,78,2.01,TH,1696774717
269,kerikeri,-35.2268,173.9474,11.62,92,54,4.73,NZ,1696774717
270,yopal,5.3378,-72.3959,29.28,58,58,1.38,CO,1696774717
271,fort st. john,56.2499,-120.8529,9.94,57,75,4.12,CA,1696774717
272,balabac,7.9868,117.0645,28.23,75,99,3.69,PH,1696774718
273,san rafael,-34.6177,-68.3301,21.25,14,92,2.74,AR,1696774718
274,namtsy,62.7161,129.6658,2.81,81,91,6.58,RU,1696774718
275,mejit,10.2753,170.8646,27.46,84,100,9.43,MH,1696774718
276,la sarre,48.8002,-79.1996,2.61,96,100,9.15,CA,1696774430
277,chilca,-12.5211,-76.7372,19.31,84,79,3.19,PE,1696774718
278,igarka,67.4667,86.5833,7.12,98,100,5.53,RU,1696774718
279,mulanje,-16.0316,35.5,36.59,18,0,2.25,MW,1696774718
280,san patricio,28.017,-97.5169,20.47,46,100,5.04,US,1696774718
281,malvan,16.0667,73.4667,27.02,90,1,3.7,IN,1696774718
282,makariv,50.4641,29.8113,11.36,27,76,9.03,UA,1696774719
283,glendive,47.1053,-104.7125,12.88,87,0,0.0,US,1696774719
284,hasaki,35.7333,140.8333,17.38,83,100,2.31,JP,1696774719
285,darwin,-12.4611,130.8418,27.99,74,20,2.06,AU,1696774719
286,qaqortoq,60.7167,-46.0333,4.08,95,100,1.95,GL,1696774719
287,beyneu,45.3167,55.2,20.49,40,86,5.24,KZ,1696774719
288,amga,60.8953,131.9608,1.66,89,100,4.02,RU,1696774719
289,wewak,-3.5534,143.6268,26.47,83,72,2.84,PG,1696774719
290,biloela,-24.4167,150.5,16.32,56,1,6.31,AU,1696774719
291,high river,50.5834,-113.8687,7.27,62,1,2.22,CA,1696774563
292,nizhneudinsk,54.9076,99.0276,10.57,82,100,1.34,RU,1696774720
293,nar'yan-mar,67.6713,53.087,3.39,87,100,4.92,RU,1696774720
294,kone,-21.0595,164.8658,17.56,81,34,3.01,NC,1696774720
295,horta,38.5333,-28.6333,21.8,78,20,7.2,PT,1696774720
296,patong,7.8961,98.2966,29.45,73,94,5.15,TH,1696774720
297,batken,39.8333,71.0,8.66,70,98,1.35,KG,1696774720
298,harrisonville,38.6533,-94.3488,14.05,69,7,5.17,US,1696774650
299,salavan,15.7167,106.4167,23.86,97,100,0.41,LA,1696774447
300,souillac,-20.5167,57.5167,25.21,69,75,5.14,MU,1696774720
301,funafuti,-8.5243,179.1942,28.0,94,75,2.57,TV,1696774720
302,magistral'nyy,56.1725,107.4458,7.43,92,100,0.65,RU,1696774720
303,sinabang,2.4803,96.3801,26.46,82,100,3.62,ID,1696774721
304,inderbor,48.55,51.7833,15.04,68,100,13.4,KZ,1696774721
305,cam ranh,11.9214,109.1591,25.98,94,75,1.03,VN,1696774721
306,alpena,45.0617,-83.4327,7.28,73,100,6.17,US,1696774721
307,suva,-18.1416,178.4415,19.71,94,20,0.0,FJ,1696774721
308,akureyri,65.6835,-18.0878,9.96,62,75,3.09,IS,1696774721
309,ginir,7.1333,40.7,22.87,44,90,4.07,ET,1696774721
310,sainte-marie,-20.8968,55.5496,26.09,72,0,4.63,RE,1696774721
311,morwa,22.9,73.8333,27.23,57,6,1.65,IN,1696774721
312,ruwa,-17.8972,31.2371,31.73,12,9,1.42,ZW,1696774721
313,nogliki,51.8333,143.1667,7.41,82,20,5.36,RU,1696774722
314,kegen,43.0197,79.2203,8.41,84,91,1.54,KZ,1696774722
315,amahai,-3.3333,128.9167,25.48,87,21,3.63,ID,1696774722
316,khurrianwala,31.5006,73.2667,31.42,22,0,3.0,PK,1696774722
317,pangkalanbuun,-2.6833,111.6167,24.36,93,33,0.91,ID,1696774722
318,hotan,37.0997,79.9269,20.0,18,47,2.72,CN,1696774722
319,yegorlykskaya,46.5656,40.6562,15.06,62,100,10.87,RU,1696774722
320,atar,20.5169,-13.0499,39.97,12,99,1.26,MR,1696774722
321,bonthe,7.5264,-12.505,28.19,75,54,3.41,SL,1696774722
322,ad dindar,13.2,34.1667,38.56,20,18,1.59,SD,1696774723
323,ebon,4.582,168.6964,28.67,78,99,5.62,MH,1696774723
324,lompoc,34.6391,-120.4579,14.4,100,100,0.0,US,1696774723
325,hailin,44.5833,129.4167,8.07,69,100,0.7,CN,1696774723
326,vorgashor,67.5833,63.95,5.31,92,99,3.14,RU,1696774723
327,colonia,50.9333,6.95,23.75,69,0,1.03,DE,1696774566
328,konstantinovskoye,45.2992,42.6367,22.42,37,100,8.49,RU,1696774723
329,kupang,-10.1667,123.5833,27.32,78,10,3.09,ID,1696774531
330,tual,-5.6667,132.75,26.78,76,22,9.12,ID,1696774723
331,antigonish,45.6169,-61.9986,16.68,96,100,2.24,CA,1696774629
332,kolosovka,56.4678,73.611,15.06,54,100,7.64,RU,1696774723
333,nehe,48.4833,124.8333,8.97,64,78,2.87,CN,1696774723
334,ntui,4.45,11.6333,24.58,92,96,0.71,CM,1696774724
335,kenai,60.5544,-151.2583,6.75,97,100,0.0,US,1696774724
336,kidal,18.4411,1.4078,37.67,12,7,3.74,ML,1696774724
337,mumford,5.2618,-0.759,25.88,84,100,5.88,GH,1696774724
338,ancud,-41.8697,-73.8203,9.99,87,85,6.83,CL,1696774724
339,darhan,49.4867,105.9228,8.39,60,93,2.67,MN,1696774724
340,sambava,-14.2667,50.1667,25.06,73,63,4.16,MG,1696774724
341,kununurra,-15.7667,128.7333,21.99,53,36,2.06,AU,1696774464
342,gadzhiyevo,69.2551,33.3362,1.49,74,100,1.82,RU,1696774724
343,arkhangel'sk,64.5401,40.5433,3.96,62,100,5.31,RU,1696774724
344,prince rupert,54.3161,-130.3201,14.05,88,100,12.35,CA,1696774426
345,nelson bay,-32.7167,152.15,14.44,85,0,0.89,AU,1696774725
346,tsiombe,-25.3,45.4833,30.21,25,0,4.45,MG,1696774546
347,copala,16.65,-98.9833,24.22,97,100,3.1,MX,1696774725
348,bayanhongor,46.7167,100.1167,1.9,47,91,0.4,MN,1696774725
349,kismayo,-0.3582,42.5454,27.06,72,82,6.54,SO,1696774725
350,conception bay south,47.4999,-52.9981,12.8,79,75,2.57,CA,1696774568
351,bereznik,62.8551,42.7072,2.8,87,100,5.47,RU,1696774725
352,pacific grove,36.6177,-121.9166,14.25,94,100,0.0,US,1696774691
353,lensk,60.7253,114.9278,3.18,85,22,1.79,RU,1696774672
354,port blair,11.6667,92.75,27.02,89,40,2.06,IN,1696774725
355,mezhdurechenskiy,59.6,65.9333,10.17,90,92,4.02,RU,1696774726
356,ilha de mocambique,-15.0342,40.7358,26.54,77,0,9.31,MZ,1696774726
357,asubulaq,49.5583,83.0558,10.26,88,92,2.01,KZ,1696774726
358,saverne,48.8333,7.25,27.39,32,68,1.66,FR,1696774726
359,kittila,67.6647,24.8936,1.45,80,75,2.06,FI,1696774726
360,hammerfest,70.6634,23.6821,2.25,93,75,0.0,NO,1696774653
361,quatre cocos,-20.2078,57.7625,25.06,73,15,4.82,MU,1696774726
362,griffith,41.5284,-87.4237,10.59,63,40,5.14,US,1696774726
363,zouerate,22.7187,-12.4521,38.36,9,0,4.39,MR,1696774726
364,kaa-khem,51.6833,94.7333,10.23,47,0,1.69,RU,1696774727
365,lake albert,-35.1667,147.3833,11.45,85,1,1.42,AU,1696774727
366,rocha,-34.4833,-54.3333,20.31,39,0,2.56,UY,1696774586
367,isangel,-19.55,169.2667,21.23,77,100,7.72,VU,1696774727
